name,description,full_address,address,state,website,phone,email,status,user_id,categories
Les Twentyman Foundation-Footscray,"Youth focused organisation. 
 
 Clients often referred by bodies e.g. Victoria Police, but individuals are welcome to call the listed number to discuss options. 
 
 Operates ""Smorgon 20th man Fund Accommodation Units"" which provide emergency accommodation for homeless youth. 
 
 Also runs community engagement programs - sport, employment mentoring, parties etc. 
 
 To qualify for schoolbook assistance the young person must be referred to the Les Twentyman Foundation by their ‘school welfare coordinator’ and must be receiving the ‘independent living allowance’.
 By referral; A BOOK LIST MUST BE PROVIDED by the client when they go to the warehouse. If the required book is not in stock the program uses book supplier vouchers", Footscray, Footscray VIC 3011,VIC,https://www.ltfoundation.com.au/,03 9689 4800,info@ltfoundation.com.au,confirmed,admin,Community
BreakThru-St Albans,"breakthru is a Registered Training Organisation (RTO #91512) and our team deliver exceptional courses along the East Coast, including traineeships, SOA, accredited and non-accredited training.",1 Andrea Street St Albans,"1 Andrea Street, St Albans VIC 3021",VIC,https://breakthru.org.au/,03 9365 9500,,confirmed,admin,Community
Kangan Institute-Docklands,"AMEP Provider, also provides VET, VCE, VCAL, Apprenticeship/Traineeships, short couses, online courses. 
 
 AMEP provided at Broadmeadows campus, Docklands campus, and through the Hume Global Learning Center (Broadmeadows and Craigieburn).",1 Batmans Hill Drive Docklands,"1 Batmans Hill Drive, Docklands VIC 3008",VIC,https://www.kangan.edu.au/,13 TAFE 13 8233,enquiries@kangan.edu.au,confirmed,admin,Community
Chelsea Community Support Services Inc-Chelsea,"**Emergency Relief finishes 30 minutes before closing time. 
 Vouchers to OP shop for clothes and household goods.
 Where unable to assist, refer directly to the Chelsea Benevolent Society.
 Although most clients using Chelsea services have healthcare cards - they will make assessments depending on the case. If someone doesn't have this documentation they may still receive ER. 
 Australian Hearing use their rooms to service patients - appointments for this service need to be made through Australian Hearing.",1 Chelsea Rd Chelsea,1 Chelsea Rd Chelsea VIC 3196,VIC,http://www.chelsea.org.au,03 9772 8939,info@chelsea.org.au,confirmed,admin,Community
Kildonan Uniting Care -Collingwood,"Kildonan UnitingCare is an innovative and trusted community service organisation within one of Australia’s largest welfare networks, UnitingCare Australia – an agency of the Uniting Church.",1 Gold St Collingwood,"1 Gold St, Collingwood VIC 3066",VIC,https://www.kildonan.org.au/,03 9412 5700,info@kildonan.org.au,confirmed,admin,Community
Uniting -Collingwood,"Social and financial inclusion program for new arrivals. Refugee Services - Cultural Connections. Not a huge amount of casework or advocacy done here, although they may be able to point clients in the right direction.",1 Gold St Collingwood,"1 Gold St, Collingwood VIC 3066",VIC,https://www.kildonan.org.au/programs-and-services/settlement-services/,03 9412 5700,info@kildonan.org.au,confirmed,admin,Community
Springvale Benevolent Society-Springvale,"Food vouchers.
 By appointment only. Phone referral, leave a voice message and they will call back. Referrals every 2 months. Few people/households per week.
 Some food available at the centre. 
 Recieves donations of Material Aid, e.g. blankets, cushions, other basics, but no furniture.","1 Lightwood Rd, Springvale VIC 3171 Springvale","1 Lightwood Rd, Springvale VIC 3171",VIC,,03 9546 5558,sbs@springvalebenevolent.com,confirmed,admin,Community
Salvation Army - Cranbourne East Corps-Cranbourne East,"Drop in: 3-4 referrals per week
 Free English classes on Fridays 1pm-2.30pm",1 New Holland Drive Cranbourne East,"1 New Holland Drive, Cranbourne East VIC 3977",VIC,http://www.salvationarmy.org.au/cranbourne,03 5995 1433,,confirmed,admin,Community
cohealth-Laverton,,95-105 Railway Avenue Laverton,"105 Railway Avenue, Laverton VIC 3028",VIC,https://www.cohealth.org.au/health-services/refugee-health/,03 9448 5534,,confirmed,admin,Community
IPC Health-Deer Park,"Refugee Health Nurses, Community Case Workers and Language Support Workers that can help 
 · find a doctor near you
 · find other health services for sore teeth or eyes, having a baby or don’t want to have a baby, feeling sad or angry or any other health problems
 · talk about your health or family problems
 · find other supports to help you
 · learn more about staying healthy in Australia.
 
 Service is free. Free interpreters available.",106 Station Road Deer Park,"106 Station road, Deer Park VIC 3023",VIC,https://www.ipchealth.com.au,03 92197142,,confirmed,admin,Community
Salvation Army - Altona-Altona,"Laverton Soup Van
 Each Friday Night we operate a free Soup Van at Laverton. Enquires welcome
 
 Coffee chat - Tuesday & Thursday mornings 10am - 1pm, free.",108 Queen St Altona,"108 Queen St, Altona VIC 3018",VIC,http://www.salvationarmy.org.au/altona,03 9398 1954,,confirmed,admin,Community
Kangan Institute-Broadmeadows,"AMEP Provider, also provides VET, VCE, VCAL, Apprenticeship/Traineeships, short couses, online courses. 
 
 AMEP provided at Broadmeadows campus, Docklands campus, and through the Hume Global Learning Center (Broadmeadows and Craigieburn).",1093 Pascoe Vale Road Broadmeadows,"1093 Pascoe Vale road, Broadmeadows VIC 3047",VIC,https://www.kangan.edu.au/,13 TAFE 13 8233,enquiries@kangan.edu.au,confirmed,admin,Community
VICSEG New Futures-Coburg,"Provides a wide variety of training for new arrivals and ethnically diverse people. VICSEG New FUtures is an incorporation between the Victorian Cooperative on Chidren's Services for Ethnic Groups and New Futures Training. 
 
 Runs playgroups, programs for young people, employment advice sessions. Also provides training courses in a range of occupational disciplines.",11 Munro St Coburg,11 Munro St Coburg VIC 3058,VIC,www.vicsegnewfutures.org.au,03 9383 2533,nft@vicsegnewfuturse.org.au,confirmed,admin,Community
Community Information Glen Eira-Glen Huntly,"Food vouchers and parcels, swags.
 
 *Note: Emergency relief assistance in the form of gift vouchers is limited.",1134 Glenhuntly Road Glen Huntly,"1134 Glenhuntly road, Glen Huntly VIC 3163",VIC,www.cige.org.au,03 9571 7644,CommunityInfo@gleneira.vic.gov.au,confirmed,admin,Community
BreakThru-Glenroy,"breakthru is a Registered Training Organisation (RTO #91512) and our team deliver exceptional courses along the East Coast, including traineeships, SOA, accredited and non-accredited training.","116 & 117, 2A Hartington Street Glenroy","117 Hartington Street, Glenroy VIC 3046",VIC,https://breakthru.org.au/,03 9365 9500,,confirmed,admin,Community
BaptCare Sanctuary -Camberwell,"For a list or map of locations, please refer to http://www.baptcare.org.au/contact
 Referrals for housing are made by BaptCare referral partners: the ASRC, the Red Cross, AMES and Life Without Barriers",1193 Toorak Road Camberwell,"1193 Toorak road, Camberwell VIC 3124",VIC,http://www.baptcare.org.au/services/housing/accommodation-for-people-seeking-asylum,03 9831 7222,enquiries@baptcare.org.au,confirmed,admin,Community
Baptcare (Sanctuary)-Camberwell,"Baptcare Sanctuary Program: provides supported transitional accommodation in Melbourne for people seeking asylum who have experienced homelessness while awaiting the outcome of their application for a protection visa or Humanitarian claim. Referrals for housing are made by our referral partners: the ASRC, the Red Cross, AMES and Life Without Barriers. 
 
 Housing and casework -- Baptcare has two Sanctuary facilities in Melbourne. Additional housing provided in the community. Casework service offers support for people seeking asylum and prepares them for their future through use of strength-based, person-focused, systematic and culturally appropriate approaches to improving their wellbeing, independence and social participation. 
 
 Food bank and Material aid -- Myki top-ups and supermarket vouchers provided by Sanctuary as an essential requirement to live and travel. Foodbank runs to provide free meals. 
 
 English and employment support classes 
 
 Emotional and spiritual support - baptcare provides spiritual care by inviting people seeking asylum to nurture their spiritual well-being through conversation, ritual, social engagement and physical and creative activities. 
 
 Sanctuary -- offers safe, affordable, transitional housing to those people seeking asylum most in need while they wait for the outcomes of their visa applications. People seeking asylum living in the community and at risk of/experiencing homelessness can be referred to Sanctuary by our referral partners. If accepted, able to stay until a determination on their application is finalised or until they overcome challenges to become independent. Pay affordable rent if they have income. 
 
 Houses of Hope -- offer safe, suitable and secure housing. For people seeking asylum, an extension of the Sanctuary program. Churches and members of the community offer properties at no rent or a reduced rate. Includes houses, unit and flats. Each tenant carefully chosen and matched -- expected to contribute a discounted rent if they have an income. Houses of Hope residents can access Sanctuary services (see above).",1193 Toorak Road Camberwell,"1193 Toorak road, Camberwell VIC 3124",VIC,http://www.baptcare.org.au,03 9831 7222,sanctuary@baptcare.org.au,confirmed,admin,Community
cohealth-Kensington,,12 Gower Street Kensington,"12 Gower street, Kensington VIC 3031",VIC,https://www.cohealth.org.au/health-services/refugee-health/,9448 5537,,confirmed,admin,Community
BAYSIDE Support and Information Centre Inc.-Hampton East,Food vouchers will not be given more frequently than every three months.,12 Katoomba St Hampton East,12 Katoomba St Hampton East VIC 3188,VIC,https://bayciss.org.au,03 9555 6560,manager@Bayciss.org.au,confirmed,admin,Community
Chisholm Institute-Dandenong,"AMEP, VET, VCE, VCAL provider. Also has a range of short courses.",121 Stud Rd Dandenong,"121 Stud Rd, Dandenong VIC 3175",VIC,https://www.chisholm.edu.au/,1300 244 746,https://www.chisholm.edu.au/contact-us,confirmed,admin,Community
"Anglicare Victoria (Mission House, Fitzroy)-Fitzroy","See https://www.anglicarevic.org.au/contact-us/locations/ for locations of other Anglicare offices, contact details, and opening hours. 
 
 In some cases, a small amount of additional assistance can be provided. This is on a case by case assessment, as they only receive a very small portion of funding for asylum seekers, and it must be spent on certain things.","Mission House, 122 Napier Street Fitzroy","122 Napier Street, Fitzroy VIC 3065",VIC,http://www.anglicarevic.org.au,03 9486 0445,mission.house@anglicarevic.org.au,confirmed,admin,Community
"Monash Refugee Health and Wellbeing, Monash Health-Dandenong","Monash Health Refugee Health and Wellbeing service provides comprehensive primary care services together with tertiary services including infectious diseases, paediatrics and psychiatry. These services are all conveniently collocated at 122 Thomas Street, Dandenong; providing holistic care for some of the communities most vulnerable and disadvantaged.","Monash Health Community Level 1, 122 Thomas Street Dandenong","122 Thomas street, Dandenong VIC 3175",VIC,http://www.monashhealth.org/page/refugee_health_and_wellbeing,9554 9776,,confirmed,admin,Community
BreakThru-Coburg,"breakthru is a Registered Training Organisation (RTO #91512) and our team deliver exceptional courses along the East Coast, including traineeships, SOA, accredited and non-accredited training.",124 Sydney Road Coburg,"124 Sydney Road, Coburg VIC 3058",VIC,https://breakthru.org.au/,1800 767 212,,confirmed,admin,Community
Doveton Baptist Benevolent Society-Doveton,"Food packages and vouchers, op-shop vouchers.
 A 2 course free lunch is available on Thursdays at 12 midday – no need to book.
 English classes are held on Saturday mornings 10a.m. during school term time.
 Provides emergency relief for residents in Doveton and Eumemmering [3177 postcode].",127 Kidds Rd Doveton,"127 Kidds Rd, Doveton VIC 3177",VIC,http://www.dovetonbaptist.com.au,03 9706 9081,office@dovetonbaptist.com.au,confirmed,admin,Community
Stand Up -Malvern,"Focus on Sudanese refuges from Darfur and Nuba Mountains. Provides capacity building programs e.g. homework clubs, women's groups and leadership programs. Aim to address the problems faced by newly arrived refugees such as isolation, language barriers, lack of employment.",128A Wattletree Rd Malvern,"128 Wattletree Rd, Malvern VIC 3144",VIC,http://www.standup.org.au/,03 9500 2206,info@standup.org.au,confirmed,admin,Community
Friends of Refugees (FOR)-Dandenong,"Women's support program, foodbank.
 
 Have supported housing around Victoria. FOR provide mostly household goods and furniture for refugees and asylum seekers in newly appointed housing. They have a food bank on Fridays where their clients come with their families to pick up groceries. This food bank is for enrolled clients who have been referred by case workers.
 
 There is a workforce preparation programme.
 Homework support on Saturdays.
 
 This centre is drop-in, although enrolment is required through case worker referral.",13 Leslie St Dandenong,"13 Leslie St, Dandenong VIC 3175",VIC,http://www.friendsofrefugees.org.au/,03 9711 1895,email@for.org.au,confirmed,admin,Community
Victorian Arabic Social Services-Broadmeadows,"Not-for-profit which supports people from Arabic-Speaking-Backgrounds. 
 
 Support provided includes counselling, case work, referrals, advocacy, community development, mediation services, cultural and linguistic support.","C1, 1-13 The Gateway Broadmeadows","13 The Gateway, Broadmeadows VIC 3047",VIC,http://vass.org.au/,03 9359 2861,mail@vass.org.au,confirmed,admin,Community
Wingate Avenue Community Centre Inc - -Ascot Vale,"Wingate’s mission is to enable positive community wellbeing with a focus on learning and social activities, especially for people who are experiencing disadvantage. We believe such a commitment will lead to improvement in quality of life and empowerment for the local community.",13A Wingate Ave Ascot Vale,13 Wingate Ave Ascot Vale VIC 3032,VIC,http://wingateave.com.au/,03 9376 5244,admin@wingateave.com.au,confirmed,admin,Community
Wingate Avenue Community Centre-Ascot Vale,"AMEP and SEE provider. 
 
 Also has an employment network in partnership with Kensington Neighbourhood House and the Maribyrnong & Moonee Valley Local Employment Learning Network. 
 
 Runs cooking classes, yoga sessions, computer literacy sessions. 
 
 Can enroll by phone or walk-in.",13A Wingate Avenue Ascot Vale,"13 Wingate Avenue, Ascot Vale VIC 3032",VIC,http://wingateave.com.au/,03 9376 5244,admin@wingateave.com.au,confirmed,admin,Community
Multicultural Centre for Women's Health-Collingwood,"MCWH works together with immigrant and refugee women, community organisations, health practitioners, employers, communities and governments to build and share knowledge, achieve equity and improve health and wellbeing for immigrant and refugee women.","Suite 207, Level 2 Carringbush Building 134 Cambridge St Collingwood","134 Cambridge St, Collingwood VIC 3066",VIC,http://www.mcwh.com.au/,03 9418 0999,,confirmed,admin,Community
Monash Health -Dandenong,Nurse clinic. Accessible available without medicare card,135 David Street Dandenong,"135 David street, Dandenong VIC 3175",VIC,http://www.monashhealth.org/page/refugee_health_and_wellbeing,03 9554 1000,,confirmed,admin,Community
Cornerstone Contact Centre-Dandenong,"See http://www.cornerstonecentre.com.au/index.php/programs for list of meal times and free programs OR
 
 Day time programs
 Due to relocating temporarily to Dandenong Church of Christ (139 David St), most of our partner programs (except as outlined below) are on hold until such time as we relocate to a new permanent premises.
 Wednesday: 9am to 1pm Drop-in program serving lunch (every second Wednesday of the month, the Australian College of Optometry visits and provides free eye tests and subsidised glasses for anyone with a concession, healthcare or pension card. Contact us for an appointment).
 Thursday: 10am to 1pm ‘Stone Soup’ program at Doveton Baptist Church
 Friday: 9am to 1pm Drop-in program serving lunch (every two to three weeks, Avalon Moving Wardrobe visit to provide free clothing. Contact us for dates).
 Afternoon and Night time programs
 There are currently no afternoon or night programs operating until further notice.","139 David Street, Dandenong Dandenong","139 David street, Dandenong VIC 3175",VIC,http://www.cornerstonecentre.com.au/index.php,0481 186 323,,confirmed,admin,Community
New Hope Foundation - Ascot Vale-Ascot Vale,The New Hope Foundation delivers programs that support migrants and refugees across different life stages in the settlement and migration journey.,13A Wingate Avenue Ascot Vale,13A Wingate Avenue Ascot Vale VIC 3032,VIC,http://www.newhope.asn.au,03 9376 5244,chrisoulak@newhope.asn.au,confirmed,admin,Community
New Hope Foundation - Werribee-Werribee,The New Hope Foundation delivers programs that support migrants and refugees across different life stages in the settlement and migration journey.,"Werribee Refugee Resource Centre, Suite 13 - 15, 2 - 14 Station Place Werribee","14 Station Place, Werribee VIC 3030",VIC,http://www.newhope.asn.au,03 9974 1700,werribee@newhope.asn.au,confirmed,admin,Community
Salvation Army - Noble Park-Noble Park,"Wednesday and Fridays 10:00 am - 2:00pm By appointment Ph: 9457 8995. Salvation Army Noble Park serves those living in Noble Park, Keysborough and Yarraman.",14-16 Buckley St Noble Park,"14-16 Buckley St, Noble Park VIC 3174",VIC,http://www.salvationarmy.org.au/noblepark,03 9547 8995,,confirmed,admin,Community
Austin Hospital -Heidelberg,,145 Studley Road Heidelberg,"145 Studley road, Heidelberg VIC 3084",VIC,http://www.austin.org.au,03 9496 5000,,confirmed,admin,Community
Salvation Army - Dandenong and Doveton-Dandenong,"Community Support: 
 Make appointment by phone. Support letter needed - can be emailed to reception.plc@aus.salvationarmy.org
 
 Free Community Breakfast:
 Every Wednesday 9am, 1A Frawley Road Doveton
 
 Drop in: 
 The Shed Drop In Doveton
  Open to any community members to drop in and spend moments with volunteers on hand, talking about life matters, watching movies, enjoying snacks together, using computers, and assisting with voluntary activities.
 Monday–Friday 9:30am–4
 1A Frawley Rd Doveton
 
 Drop-in Centre Noble Park
 Tea, Coffee, snacks and a place to sit, relax and talk to someone is available.
 Tuesday–Friday 10am–2:30
 14-16 Buckley St Noble Park
 
 Emergency relief: in the form of food items, food vouchers, Salvos Store vouchers (furniture, household goods and clothing). Appointment needed by phone. Must bring valid healthcare card or other form of ID with current address. 
 
 Financial Counselling -- free and available to everyone, regardless of geographical location. Book appointment by phone. Bring to appointment proof of income (wages slip and/or Centrelink statement), current bank statements and all bills, fines, letters etc relevant to financial situation.",Shop 6/147 Foster St Dandenong,"147 Foster St, Dandenong VIC 3175",VIC,http://www.salvationarmy.org.au/dandenong,03 9794 3500,,confirmed,admin,Community
Foundation House-Dandenong,"A person must meet ALL of the following criteria: 
 •Have a refugee or refugee-like background (see definition below); AND
 •Have a history of torture and/or other traumatic events prior to arrival in Australia or be an immediate family member of such a person; AND 
 •Be experiencing psychological or psychosocial difficulties believed to be associated with their experience of torture and traumatic events; AND 
 •Consent to receive our services; AND
 •Not pose an unacceptable risk to the safety of staff or other clients. 
 
 Refugee or refugee-like background definition 
 This includes: 
 •People who have been found to be refugees (by the UNHCR or the Australian Government)
 •People who have suffered persecution in their country of nationality or usual residence 
 •People who have been subjected to substantial discrimination and human rights abuses in their country of nationality or usual residence 
 •Immediate family members, such as a child, of the above. 
 NOTE - Can still be eligible if not a refugee under the Refugee Convention. 
 
 •People can refer themselves or be referred by family and community members.",155 Foster Street Dandenong,"155 Foster street, Dandenong VIC 3175",VIC,http://www.foundationhouse.org.au/contact-us/,03 9389 8888,info@foundationhouse.org.au,confirmed,admin,Community
Red Cross Australia-Carlton,"Relief varies between states/territories in Australia. 
 Relief Subject to case evaluation.",155 Pelham Street Carlton,"155 Pelham Street, Carlton VIC 3053",VIC,http://www.redcross.org.au/migration-support.aspx,03 9345 1800,contactus@redcross.org.au,confirmed,admin,Community
Cranbourne Information & Support Service Inc-Cranbourne,"Backpack beds for the homelss, food parcels and vouchers, support with education costs.",156 Sladen Street Cranbourne,"156 Sladen street, Cranbourne VIC 3977",VIC,http://www.cranbourneiss.org.au/index.html,03 5996 3333,ciss@cranbourneiss.org.au,confirmed,admin,Community
North Ringwood Care (North Ringwood Uniting Care)-Ringwood,"Food parcels, community budget service.
 
 Those without Centrelink documentation will still be assisted, as long as they live within the LGA of 3134.
 
 ER provided once a month, however more frequent ER can be provided in special cases. 
 Prescription support must be PBS items only and are limited to 2 per visit. 
 Referrals to other agencies for white goods, furniture, limited dental, community meals, and other ER. 
 Community budget service is available fortnightly and appointments are essential.",14-16 Dickson Crescent Ringwood,"16 Dickson, Crescent Ringwood VIC 3134",VIC,http://www.nruc.org.au,03 9876 5625,office@nruc.org.au,confirmed,admin,Community
Salvation Army Asylum Seeker Support-Brunswick,"Offers food vouchers, salvo store vouchers, phone cards, Myki cards, bedding, clothes, furniture, eye check vouchers (depending on availability).",16 Tinning Street Brunswick,"16 Tinning Street, Brunswick VIC 3056",VIC,http://www.salvationarmy.org.au/en/Who-We-Are/our-work/asylum-seekers/,03 9384 8333,colin.elkington@aus.salvationarmy.org,confirmed,admin,Community
Salvation Army Asylum Seeker and Refugee Service (ASRS) - Brunswick-Brunswick,"The Salvation Army operates migrant and refugee assistance programs in each state. These offer a range of different programs including financial and material aid, personal support and access to mainstream community networks.",16 Tinning Street Brunswick,"16 Tinning street, Brunswick VIC 3056",VIC,http://www.salvationarmy.org.au/en/Who-We-Are/our-work/asylum-seekers/,03 9384 8333,colin.elkington@aus.salvationarmy.org,confirmed,admin,Community
Port Phillip Community Group-St Kilda,"No Interest Loans, food vouchers and pantry.
 
 An appointment is required for assessment of food vouchers.
 
 Financial assistance can only be accessed once in a 6 month period. Each request will be assessed individually.
 
 A fresh fruit and vegetable food distribution service is available at St Kilda Community Centre each Monday (except Public Holidays) from 2pm to 3pm.
 
 To be eligible to access this service you require a Health Care Card and to be a resident of St Kilda. Clients can access the service on a fortnightly basis based the last number in the CRN. Odd numbers one week, even numbers the next. Remember to bring your own bag!
 
 Tax assistance service available at the St Kilda office only.
 
 SOUTH MELBOURNE
 218 Bank Street, South Melbourne 3205
 T: 9209 6830
 E: southmelbourne@ppcg.org.au
 Monday to Friday 9am to 5pm
 
 PORT MELBOURNE
 333 Bay Street, Port Melbourne 3207
 T: 9209 6350
 E: portmelbourne@ppcg.org.au
 Monday to Friday 12.30pm to 4.30pm 
 
 ALMA ROAD COMMUNITY HOUSE
 200 Alma Road
 St Kilda East 3182
 T: 9525 8746",161 Chapel Street St Kilda,"161 Chapel street, St Kilda VIC 3182",VIC,http://www.ppcg.org.au,03 8598 6600,info@ppcg.org.au // See notes for other email contacts,confirmed,admin,Community
Spectrum Migrant Resource Centre - Sunshine-Sunshine,Spectrum delivers services to newly arrived and established people with migrant and refugee backgrounds in the northern and western Melbourne areas.,163 Harvester Rd Sunshine Sunshine,"163 Harvester Rd, Sunshine VIC 3020",VIC,http://spectrumvic.org.au/,03 9300 8600,,confirmed,admin,Community
Foundation House-Sunshine,"A person must meet ALL of the following criteria: 
 •Have a refugee or refugee-like background (see definition below); AND
 •Have a history of torture and/or other traumatic events prior to arrival in Australia or be an immediate family member of such a person; AND 
 •Be experiencing psychological or psychosocial difficulties believed to be associated with their experience of torture and traumatic events; AND 
 •Consent to receive our services; AND
 •Not pose an unacceptable risk to the safety of staff or other clients. 
 
 Refugee or refugee-like background definition 
 This includes: 
 •People who have been found to be refugees (by the UNHCR or the Australian Government)
 •People who have suffered persecution in their country of nationality or usual residence 
 •People who have been subjected to substantial discrimination and human rights abuses in their country of nationality or usual residence 
 •Immediate family members, such as a child, of the above. 
 NOTE - Can still be eligible if not a refugee under the Refugee Convention. 
 
 •People can refer themselves or be referred by family and community members.",163 Harvester Street Sunshine,"163 Harvester street, Sunshine VIC 3020",VIC,http://www.foundationhouse.org.au/contact-us/,03 9389 8277,info@foundationhouse.org.au,confirmed,admin,Community
Mercy Hospital-Heidelberg,"Healthy Happy Beginnings is a free, community-based program for refugee women from Burma (primarily Karen-speaking).",163 Studley Road Heidelberg,"163 Studley road, Heidelberg VIC 3084",VIC,https://health-services.mercyhealth.com.au/our-locations/mercy-hospital-women/,03 8458 4058,,confirmed,admin,Community
Asylum Seeker Resource Centre - Dandenong-Dandenong,"The Asylum Seeker Resource Centre (ASRC) is an asylum seeker support organisation in Australia. The ASRc provides aid, justice and empowerment programs to over 1000 asylum seekers living in the community seeking refugee protection.",179 Lonsdale Street Dandenong,"179 Lonsdale street, Dandenong VIC 3175",VIC,http://www.asset.asrc.org.au,03 8772 1380,dandenong@asrc.org.au,confirmed,admin,Community
Church of all Nations-Carlton,"No interest loans (NILS), computer literacy, food parcels and pantry, homework help
 *Some form of ID/supporting document required 
 
 Each Tuesday(except public holidays) lunch is served between 11:30am and 1pm in the Drop-In Centre. Enter from the rear (north side) of the Church. All are welcome for the small cost of $1. Meals are nutritional, vary weekly and include dessert.",180 Palmerston St Carlton,"180 Palmerston St, Carlton VIC 3053",VIC,http://carlton-uca.org/news/,03 9347 7077,contact@carlton-uca.org // bruce.osmond.carlton.2@gmail.com,confirmed,admin,Community
Dallas Neighbourhood House-Broadmeadows,"On WEDNESDAYS from 2pm-3pm, DNH offers one free box of fruit, vegetables, milk and bread each week to local families that have at least one child under the age of 12 and are in need of regular food relief services. 
 All participating families will be required to complete a regular 2-minute, anonymous survey used to assess the impact the service provides for families. Limited boxes each week. No boxes will be reserved. Each box has a retail value of approximately $25. 
 
 On THURSDAYS from 1pm-3pm, for a gold coin donation, DNH offers residents of the city of Hume and Moreland food parcels. Residents must hold a valid Health Care Card, Pension Card or Asylum Seeker/Refugee ImmiCard to be eligible for Thursday food parcels. 
 Limited parcels each week. No parcels will be reserved. No appointment necessary- just drop in.","182 Widford Street, Broadmeadows VIC 3047","182 Widford Street, Broadmeadows VIC 3047",VIC,http://dallasnh.org.au/additional-services/,03 9302 2131,dallasnh.info@gmail.com,confirmed,admin,Community
Northern Health-Epping,"Asylum seekers and refugees are provided with free medical care (including diagnostic services) in Victorian hospitals.
 
 Asylum Seekers/Refugees will need to produce appropriate documentation confirming their status from the Department of Immigration and Citizenship or from a recognised asylum support agency.
 
 If documentation is not produced you will be expected to pay for all associated medical costs, however fees will be waived once necessary documentation has been provided to the Patient Liaison Office.",185 Cooper Street Epping,"185 Cooper street, Epping VIC 3076",VIC,http://www.nh.org.au/patients-and-visitors/patient-account-information/medicare-ineligible-patients,03 8405 8000,,confirmed,admin,Community
Western Port Community Support-Hastings,"Food parcels and vouchers, budget support. Also able to provide a ""listening ear"" to hear about and advise on issues facing asylum seekers. 
 
 It is recommended that new emergency relief clients make contact with the agency to determine eligibility.
 
 For caseworker support, an internal referral is necessary. 
 
 Appointments necessary for legal advice, counselling, tax help.","Peninsula Community Health, Reception B 185 High St (Next to Westernport Secondary College) Hastings","185 High St, Hastings VIC 3915",VIC,http://www.wportcomsupport.org.au,03 5979 2762,info@wportcomsupport.org.au,confirmed,admin,Community
Plenty Valley Community Health -Epping,"no cost for accessing health services, can potentially wave fees for allied health services as well
 
 Refugee Health service available -- referrals not necessary. 
 
 Free interpreting service available.",187 Cooper Street Epping,"187 Cooper street, Epping VIC 3076",VIC,http://www.pvch.org.au/Page/Page.aspx?Page_Id=186,03 8401 7330,cooperst@pvchs.org.au,confirmed,admin,Everyday
Uniting Care (Kildonan)-Epping,Please see: https://www.kildonan.org.au/programs-and-services/settlement-services/ for eligibility for different programs,188 McDonalds Rd Epping,"188 McDonalds Rd, Epping VIC 3076",VIC,https://www.unitingcare.org.au/services-agencies for a national list of agency locations and contact details,03 8401 0100,info@kildonan.org.au,confirmed,admin,Everyday
Fitzroy Learning Network-Fitzroy,,198 Napier Street Fitzroy,"198 Napier street, Fitzroy VIC 3065",VIC,www.fitzroylearningnetwork.org.au,03 9417 2897,admin@fitzroylearningnetwork.org.au,confirmed,admin,"Everyday, Housing, Financial"
Dixon House-Clayton,"Creative and technology programs, woman's program, food packages.
 
 Available to those on low incomes. Assist people who are struggling financially, with non-perishable food items. 
 Free counselling services on Tuesday and Friday mornings. These are by appointment only.",2 Dixon St Clayton,"2 Dixon St, Clayton VIC 3168",VIC,http://www.dixonhouse.org.au,03 9543 8911,info@dixonhouse.org.au,confirmed,admin,"Community, Everyday"
Uniting Care Hotham Mission-North Melbourne,Partners with Lentara Uniting Care's Asylum Seeking Project to provide limited rent-free Uniting Church housing in North Melbourne for up to 10 Asylum Seekers who have been assessed by ASP case managers as requiring urgent housing assistance.,2 Elm Street North Melbourne,"2 Elm Street, North Melbourne VIC 3051",VIC,http://hothammission.org.au/programs/asylum-seeker-support/,03 9326 8245,enquiries@hothammission.org.au,confirmed,admin,"Everyday, Community, Health, Legal"
Maroondah Community Assist - Ringwood -Ringwood,"Food vouchers, meat vouchers, school fee help. 
 
 Healthcare Card preferred, however are happy to help anyone in need - only require some proof of address. This can be in any form that includes a name and address inc. Utility bills. 
 
 Drop-in Service, but require appointment if it is for Budget or Tax services. This gets very busy, so appointment absolutely essential.",2A Ringwood Street Ringwood,"2 Ringwood street, Ringwood VIC 3134",VIC,http://maroondahcommunityassist.org.au/index.html,03 9870 3233,,confirmed,admin,"Legal, Health, Community, Everyday"
Refugee Legal-Collingwood,,"Level 6, 20 Otter St Collingwood","20 Otter St, Collingwood VIC 3066",VIC,www.rilc.org.au,03 9413 0101,rilc@rilc.org.au,confirmed,admin,"Housing, Education, Everyday, Financial"
Wyndham Community and Education Centre Inc-Werribee,"Helps with a range of settlement and casework issues, including access to ESL services, employment consumer issues, income support, family issues. 
 
 Also provides opportunities to engage with the community, e.g. sport and recreation programs, festivals, cultural awareness training for service providers and agencies. 
 
 Has targeted programs for youth.",20 Synnot St Werribee,"20 Synnot St, Werribee VIC 3030",VIC,http://www.wyndhamcec.org.au/,03 9742 4013,,confirmed,admin,"Education, Community, Everyday"
Anglican Diocese of Melbourne-Melbourne,2x weekly english lessons run by volunteers,209 Flinders Lane Melbourne,"209 Flinders Lane, Melbourne VIC 3000",VIC,http://www.melbourneanglican.org.au/Pages/Anglican-Diocese-of-Melbourne.aspx,03 9653 4220,reception@melbourneanglican.org.au,confirmed,admin,"Education, Everyday, Community"
